"V1" "V2" "V3" "V4" "V5" "V6" "extr" "extr" "extr" "extr"
"2013/11/30 12:33'07" 41608.523 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:33'17" 41608.52311 24.8 12 1003.3 "" "" "" ""
"2013/11/30 12:33'27" 41608.52323 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:33'37" 41608.52334 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:33'47" 41608.52346 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:33'57" 41608.52358 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:34'07" 41608.52369 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:34'17" 41608.52381 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:34'27" 41608.52392 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:34'37" 41608.52404 24.7 12 1003.3 "" "" "" ""
"2013/11/30 12:34'47" 41608.52416 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:34'57" 41608.52427 24.7 13 1003.4 "" "" "" ""
"2013/11/30 12:35'07" 41608.52439 24.7 13 1003.4 "" "" "" ""
"2013/11/30 12:35'17" 41608.5245 24.6 13 1003.4 "" "" "" ""
"2013/11/30 12:35'27" 41608.52462 24.6 13 1003.4 "" "" "" ""
"2013/11/30 12:35'37" 41608.52473 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:35'47" 41608.52485 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:35'57" 41608.52497 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'07" 41608.52508 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'17" 41608.5252 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'27" 41608.52531 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'37" 41608.52543 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'47" 41608.52554 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:36'57" 41608.52566 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:37'07" 41608.52578 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:37'17" 41608.52589 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:37'27" 41608.52601 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:37'37" 41608.52612 24.5 13 1003.4 "" "" "" ""
"2013/11/30 12:37'47" 41608.52624 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:37'57" 41608.52635 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:38'07" 41608.52647 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:38'17" 41608.52659 24.5 14 1003.2 "" "" "" ""
"2013/11/30 12:38'27" 41608.5267 24.5 14 1003.2 "" "" "" ""
"2013/11/30 12:38'37" 41608.52682 24.5 14 1003.2 "" "" "" ""
"2013/11/30 12:38'47" 41608.52693 24.5 13 1003.2 "" "" "" ""
"2013/11/30 12:38'57" 41608.52705 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:39'07" 41608.52716 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:39'17" 41608.52728 24.5 14 1003.3 "" "" "" ""
"2013/11/30 12:39'27" 41608.5274 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:39'37" 41608.52751 24.5 14 1003.3 "" "" "" ""
"2013/11/30 12:39'47" 41608.52763 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:39'57" 41608.52774 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:40'07" 41608.52786 24.5 14 1003.3 "" "" "" ""
"2013/11/30 12:40'17" 41608.52797 24.5 13 1003.3 "" "" "" ""
"2013/11/30 12:40'27" 41608.52809 24.6 13 1003.3 "" "" "" ""
"2013/11/30 12:40'37" 41608.52821 24.6 14 1003.3 "" "" "" ""
"2013/11/30 12:40'47" 41608.52832 24.7 14 1003.3 "" "" "" ""
"2013/11/30 12:40'57" 41608.52844 24.7 14 1003.3 "" "" "" ""
"2013/11/30 12:41'07" 41608.52855 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:41'17" 41608.52867 24.8 14 1003.3 "" "" "" ""
"2013/11/30 12:41'27" 41608.52878 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:41'37" 41608.5289 24.9 14 1003.3 "" "" "" ""
"2013/11/30 12:41'47" 41608.52902 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:41'57" 41608.52913 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:42'07" 41608.52925 25 14 1003.3 "" "" "" ""
"2013/11/30 12:42'17" 41608.52936 25 14 1003.3 "" "" "" ""
"2013/11/30 12:42'27" 41608.52948 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:42'37" 41608.52959 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:42'47" 41608.52971 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:42'57" 41608.52983 25.2 13 1003.3 "" "" "" ""
