"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 11:31'15"	"41836.4800347222"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:31'35"	"41836.4802662037"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:31'55"	"41836.4804976852"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:32'15"	"41836.4807291667"	"  22.4000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:32'35"	"41836.4809606481"	"  22.4000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:32'55"	"41836.4811921296"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:33'15"	"41836.4814236111"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:33'35"	"41836.4816550926"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:33'55"	"41836.4818865741"	"  22.6000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:34'15"	"41836.4821180556"	"  22.5000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:34'35"	"41836.4823495370"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:34'55"	"41836.4825810185"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:35'15"	"41836.4828125000"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:35'35"	"41836.4830439815"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:35'55"	"41836.4832754630"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:36'15"	"41836.4835069444"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:36'35"	"41836.4837384259"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:36'55"	"41836.4839699074"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:37'15"	"41836.4842013889"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:37'35"	"41836.4844328704"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:37'55"	"41836.4846643519"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:38'15"	"41836.4848958333"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:38'35"	"41836.4851273148"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:38'55"	"41836.4853587963"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:39'15"	"41836.4855902778"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:39'35"	"41836.4858217593"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:39'55"	"41836.4860532407"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:40'15"	"41836.4862847222"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:40'35"	"41836.4865162037"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:40'55"	"41836.4867476852"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:41'15"	"41836.4869791667"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:41'35"	"41836.4872106481"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:41'55"	"41836.4874421296"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:42'15"	"41836.4876736111"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:42'35"	"41836.4879050926"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:42'55"	"41836.4881365741"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:43'15"	"41836.4883680556"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:43'35"	"41836.4885995370"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:43'55"	"41836.4888310185"	"  22.5000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:44'15"	"41836.4890625000"	"  22.4000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:44'35"	"41836.4892939815"	"  22.4000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:44'55"	"41836.4895254630"	"  22.4000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:45'15"	"41836.4897569444"	"  22.4000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:45'35"	"41836.4899884259"	"  22.4000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:45'55"	"41836.4902199074"	"  22.5000"	"  56.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:46'15"	"41836.4904513889"	"  22.5000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:46'35"	"41836.4906828704"	"  22.5000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:46'55"	"41836.4909143519"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:47'15"	"41836.4911458333"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:47'35"	"41836.4913773148"	"  22.6000"	"  56.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:47'55"	"41836.4916087963"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:48'15"	"41836.4918402778"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:48'35"	"41836.4920717593"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:48'55"	"41836.4923032407"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:49'15"	"41836.4925347222"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:49'35"	"41836.4927662037"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:49'55"	"41836.4929976852"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:50'15"	"41836.4932291667"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:50'35"	"41836.4934606481"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:50'55"	"41836.4936921296"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:51'15"	"41836.4939236111"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:51'35"	"41836.4941550926"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:51'55"	"41836.4943865741"	"  22.6000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:52'15"	"41836.4946180556"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:52'35"	"41836.4948495370"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:52'55"	"41836.4950810185"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:53'15"	"41836.4953125000"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:53'35"	"41836.4955439815"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:53'55"	"41836.4957754630"	"  22.6000"	"  58.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:54'15"	"41836.4960069444"	"  22.7000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:54'35"	"41836.4962384259"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:54'55"	"41836.4964699074"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:55'15"	"41836.4967013889"	"  22.6000"	"  58.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:55'35"	"41836.4969328704"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:55'55"	"41836.4971643519"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:56'15"	"41836.4973958333"	"  22.7000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:56'35"	"41836.4976273148"	"  22.7000"	"  57.0000"	"  997.6000"	""	""	""	""	""	
"2014/07/16 11:56'55"	"41836.4978587963"	"  22.7000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:57'15"	"41836.4980902778"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:57'35"	"41836.4983217593"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:57'55"	"41836.4985532407"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:58'15"	"41836.4987847222"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:58'35"	"41836.4990162037"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:58'55"	"41836.4992476852"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 11:59'15"	"41836.4994791667"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 11:59'35"	"41836.4997106481"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 11:59'55"	"41836.4999421296"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 12:00'15"	"41836.5001736111"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 12:00'35"	"41836.5004050926"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:00'55"	"41836.5006365741"	"  22.6000"	"  57.0000"	"  997.5000"	""	""	""	""	""	
"2014/07/16 12:01'15"	"41836.5008680556"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:01'35"	"41836.5010995370"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:01'55"	"41836.5013310185"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:02'15"	"41836.5015625000"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:02'35"	"41836.5017939815"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:02'55"	"41836.5020254630"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:03'15"	"41836.5022569444"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:03'35"	"41836.5024884259"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:03'55"	"41836.5027199074"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:04'15"	"41836.5029513889"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:04'35"	"41836.5031828704"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
